55,0.038,2.949,507.69
55,0.059,2.895,511.29
55,0.089,2.845,514.89
55,0.13,2.799,518.49
55,0.187,2.756,522.08
55,0.262,2.716,525.65
55,0.361,2.68,529.21
55,0.488,2.645,532.75
55,0.65,2.613,536.25
55,0.852,2.583,539.73
55,1.013,2.564,542.03
55,1.101,2.555,543.16
55,1.406,2.529,546.54
55,1.774,2.505,549.88
55,2.214,2.481,553.15
55,2.734,2.459,556.36
55,3.346,2.439,559.49
55,4.058,2.419,562.55
55,4.881,2.401,565.53
55,5.826,2.383,568.42
55,6.906,2.366,571.21
55,8.131,2.35,573.9
55,9.514,2.335,576.48
55,11.069,2.32,578.95
55,12.808,2.306,581.3
55,14.746,2.292,583.52
55,16.896,2.279,585.61
55,19.275,2.266,587.56
55,21.898,2.253,589.36
55,24.783,2.241,591.01
55,27.948,2.229,592.5
55,31.412,2.217,593.82
55,35.199,2.205,594.96
55,39.332,2.193,595.92
55,43.843,2.181,596.68
55,48.768,2.169,597.22
55,54.168,2.157,597.5
60,0.038,2.965,511.39
60,0.059,2.911,515.02
60,0.089,2.861,518.66
60,0.13,2.814,522.3
60,0.187,2.772,525.93
60,0.262,2.732,529.55
60,0.361,2.695,533.16
60,0.488,2.66,536.75
60,0.65,2.628,540.31
60,0.852,2.598,543.84
60,1.013,2.579,546.17
60,1.101,2.57,547.33
60,1.406,2.544,550.77
60,1.774,2.519,554.17
60,2.214,2.496,557.52
60,2.734,2.474,560.8
60,3.346,2.454,564.02
60,4.058,2.434,567.16
60,4.881,2.416,570.22
60,5.826,2.398,573.2
60,6.906,2.381,576.09
60,8.131,2.365,578.88
60,9.514,2.35,581.57
60,11.069,2.336,584.15
60,12.808,2.321,586.62
60,14.746,2.308,588.97
60,16.896,2.295,591.19
60,19.275,2.282,593.27
60,21.898,2.269,595.22
60,24.783,2.257,597.03
60,27.948,2.245,598.68
60,31.412,2.233,600.17
60,35.199,2.222,601.5
60,39.332,2.21,602.66
60,43.843,2.199,603.62
60,48.768,2.187,604.39
60,54.168,2.175,604.9
65,0.038,2.981,515.12
65,0.059,2.926,518.79
65,0.089,2.876,522.46
65,0.13,2.83,526.13
65,0.187,2.787,529.81
65,0.262,2.747,533.48
65,0.361,2.71,537.13
65,0.488,2.675,540.77
65,0.65,2.643,544.38
65,0.852,2.613,547.96
65,1.013,2.594,550.34
65,1.101,2.585,551.51
65,1.406,2.559,555.03
65,1.774,2.534,558.49
65,2.214,2.511,561.9
